Incident_Type,Statute_Type,Block_Address,Occurred_Datetime,Statute_Description
Burglary Auto,Penal Code,WEBSTER ST  &  COLLEGE AVE,2024-08-14 02:12:00,BURGLARY OF AUTO
Vandalism,Penal Code,COLLEGE AVE  &  WEBSTER ST,2024-07-26 03:00:00,VANDALISM:DEFACE PROPERTY
Vandalism,Penal Code,COLLEGE AVE  &  WEBSTER ST,2024-07-26 03:00:00,VIOLATE CIVIL RIGHTS BY FORCE OR THREAT OF FORCE INTIMIDATION
Burglary Auto,Penal Code,COLLEGE AVE  &  WEBSTER ST,2024-07-12 02:20:00,BURGLARY OF AUTO
Burglary Auto,Penal Code,COLLEGE AVE  &  WEBSTER ST,2024-05-08 20:20:00,BURGLARY OF AUTO
Burglary Auto,Penal Code,COLLEGE AVE  &  WEBSTER ST,2024-03-21 20:00:00,BURGLARY OF AUTO
Vandalism,Vehicle Code,1700 ROSE ST,2024-12-31 21:58:00,Tamper with vehicle
Domestic violence,Penal Code,1 POPLAR ST,2024-06-12 17:15:00,PROBATION VIOLATION: REARREST/REVOKE
Domestic violence,Penal Code,1 POPLAR ST,2024-06-12 17:15:00,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE
Theft Misdemeanor (Under $950),Penal Code,1700 ROSE ST,2024-12-22 23:00:00,PETTY THEFT (ALL OTHER)
Disturbance,Penal Code,1 POPLAR ST,2024-02-19 20:00:00,CONTEMPT OF COURT: DISORDERLY/ETC BEHAVIOR
Assault/Battery Misdemeanor,Penal Code,1700 ROSE ST,2024-12-04 22:35:00,BATTERY ON PERSON
Vehicle Stolen,Vehicle Code,700 EUCLID AVE,2024-01-28 06:30:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Disturbance,Penal Code,1700 ROSE ST,2024-11-27 19:02:00,THREATEN CRIME WITH INTENT TO TERRORIZE
Disturbance,Penal Code,1 POPLAR ST,2023-10-23 21:45:00,Violate court order to prevent domestic violence
Disturbance,Penal Code,1700 ROSE ST,2024-10-29 07:00:00,THREATEN CRIME WITH INTENT TO TERRORIZE
Domestic violence,Penal Code,1 POPLAR ST,2023-09-23 04:14:00,Violate court order to prevent domestic violence
Disturbance,Penal Code,1700 ROSE ST,2024-02-02 17:00:00,THREATEN CRIME WITH INTENT TO TERRORIZE
Theft from Auto,Penal Code,900   VIRGINIA ST,2024-12-30 07:58:00,GRAND THEFT VEHICLE PARTS
Domestic violence,Penal Code,1 POPLAR ST,2023-08-12 00:30:00,Violate court order to prevent domestic violence
Assault/Battery Misdemeanor,Penal Code,1700 ROSE ST,2024-01-25 21:30:00,BATTERY ON PERSON
Theft Misdemeanor (Under $950),Penal Code,900   VIRGINIA ST,2024-07-12 04:00:00,PETTY THEFT (ALL OTHER)
Domestic violence,Penal Code,1 POPLAR ST,2023-08-12 00:30:00,Battery: ex-spouse; dating; etc (hospital required)
Assault/Battery Misdemeanor,Penal Code,1700 ROSE ST,2023-12-22 00:54:00,BATTERY ON PERSON
Assault/Battery Misdemeanor,Penal Code,1700 ROSE ST,2023-12-20 22:38:00,Battery with bodily injury
Burglary Auto,Penal Code,900 VIRGINIA ST,2024-02-06 13:29:00,BURGLARY OF AUTO
Domestic violence,Penal Code,1 POPLAR ST,2023-06-13 14:30:00,Battery: ex-spouse; dating; etc (no hospital required)
Theft from Auto,Penal Code,1   FAIRLAWN DR,2025-01-01 05:00:00,GRAND THEFT FROM VEHICLE
Disturbance,Penal Code,1700 ROSE ST,2023-09-06 14:35:00,THREATEN CRIME W/INTENT TO TERRORIZE
Burglary Residential,Penal Code,900 VIRGINIA ST,2024-02-05 22:25:00,BURGLARY - BREAKING AND ENTERING
Fraud/Forgery,Penal Code,1 FAIRLAWN DR,2024-05-31 13:30:00,THEFT ELDER/DEPENDANT ADULT (OVER $950)
Domestic violence,Penal Code,1 POPLAR ST,2023-06-13 14:30:00,Probation Violation : Misdemeanor
Assault/Battery Misdemeanor,Penal Code,1700 ROSE ST,2023-05-24 15:40:00,Battery with bodily injury
Theft Misdemeanor (Under $950),Penal Code,900 VIRGINIA ST,2023-07-04 12:04:00,Petty Theft
Theft from Auto,Penal Code,1200 ROSE ST,2025-01-01 08:01:00,THEFT OF VEHICLE PARTS
Fraud/Forgery,Penal Code,1 FAIRLAWN DR,2023-06-22 07:00:00,Theft from elder or dependent adult (under $950)
Domestic violence,Penal Code,1 POPLAR ST,2023-06-09 04:00:00,Corporal injury on spouse or cohabitant (hospital required)
Gun/Weapon,Penal Code,1700 ROSE ST,2023-04-28 00:00:00,THREATEN CRIME W/INTENT TO TERRORIZE
Burglary Residential,Penal Code,1000 VIRGINIA ST,2023-05-30 05:00:00,Burglary
Burglary Residential,Penal Code,BELVEDERE AVE  &  ROSE ST,2023-04-24 01:45:00,Burglary
Fraud/Forgery,Penal Code,1 FAIRLAWN DR,2023-06-22 07:00:00,Petty Theft
Vehicle Recovered,Vehicle Code,1 POPLAR ST,2023-05-26 01:00:00,Take vehicle without owner's consent
Theft from Person,Penal Code,1700 ROSE ST,2023-04-16 03:00:00,Petty Theft
Vehicle Stolen,Vehicle Code,900 VIRGINIA ST,2023-04-22 19:00:00,Take vehicle without owner's consent
Burglary Residential,Penal Code,BELVEDERE AVE  &  ROSE ST,2023-04-24 01:45:00,THREATEN CRIME W/INTENT TO TERRORIZE
