Incident_Type,Statute_Type,Block_Address,Occurred_Datetime,Statute_Description
Theft Misdemeanor (Under $950),Penal Code,1300 BERKELEY WAY,2023-04-23 23:00:00,Petty Theft
Assault/Battery Misdemeanor,Penal Code,1300 BERKELEY WAY,2023-03-23 01:40:00,Cause harm or death of elder or dependent adult
Assault/Battery Misdemeanor,Penal Code,1300 BERKELEY WAY,2023-03-23 01:40:00,Battery with bodily injury
Theft Misdemeanor (Under $950),Penal Code,1300 BERKELEY WAY,2023-02-16 22:01:00,RECEIVE KNOWN STOLEN PROPERTY ($950 OR LESS)
Theft Misdemeanor (Under $950),Penal Code,1300 BERKELEY WAY,2023-02-16 22:01:00,Probation Violation : Felony
Theft Misdemeanor (Under $950),Penal Code,1300 BERKELEY WAY,2023-02-16 22:01:00,Possess burglary tools
Theft Misdemeanor (Under $950),Penal Code,1300 BERKELEY WAY,2023-02-16 22:01:00,Obtain credit using another identification
Theft Felony (over $950),Penal Code,1300 BERKELEY WAY,2023-01-25 06:00:00,Grand theft: money; labor; or property over $950
Vandalism,Penal Code,1700 8TH ST,2023-05-30 12:25:00,Vandalism:  Deface property
Vandalism,Penal Code,900 DELAWARE ST,2023-05-24 16:33:00,Vandalism:  Deface property
Theft from Auto,Penal Code,1700 8TH ST,2023-01-31 08:00:00,Grand theft: money; labor; or property over $950
Theft Felony (over $950),Penal Code,1300 BERKELEY WAY,2025-03-21 10:25:00,GRAND THEFT VEHICLE PARTS
Disturbance,Penal Code,1300 BERKELEY WAY,2024-09-21 17:51:00,CONTEMPT OF COURT: DISORDERLY/ETC BEHAVIOR
Disturbance,Penal Code,1300 BERKELEY WAY,2024-09-21 17:51:00,OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH
Domestic violence,Penal Code,1300 BERKELEY WAY,2024-09-16 05:53:00,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE
Assault/Battery Felony,Penal Code,1300 BERKELEY WAY,2024-09-15 16:19:00,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE
Assault/Battery Felony,Penal Code,1300 BERKELEY WAY,2024-09-15 16:19:00,ASSAULT W DEADLY WEAPON:NOT F/ARM
Assault/Battery Felony,Penal Code,1300 BERKELEY WAY,2024-09-15 16:19:00,VANDALISM:DEFACE PROPERTY
Assault/Battery Felony,Penal Code,1300 BERKELEY WAY,2024-09-15 16:19:00,BATTERY W/SERIOUS BODILY INJURY
Assault/Battery Felony,Penal Code,1300 BERKELEY WAY,2024-09-15 16:19:00,CONTEMPT OF COURT: DISOBEY COURT ORDER
Disturbance,Penal Code,1300 BERKELEY WAY,2024-09-08 01:57:00,TRESPASS: OBSTRUCT BUSINESS OPERATIONS/ETC
Domestic violence,Penal Code,1300 BERKELEY WAY,2024-09-07 16:00:00,THREATEN CRIME WITH INTENT TO TERRORIZE
Domestic violence,Penal Code,1300 BERKELEY WAY,2024-09-07 16:00:00,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC
Domestic violence,Penal Code,1300 BERKELEY WAY,2024-09-07 16:00:00,False Imprisonment
Domestic violence,Penal Code,1300 BERKELEY WAY,2024-09-07 16:00:00,KIDNAPPING
Disturbance,Penal Code,1300 BERKELEY WAY,2024-09-04 08:30:00,TRESPASSING
Disturbance,Penal Code,1300 BERKELEY WAY,2024-09-03 15:18:00,TRESPASSING
Vandalism,Vehicle Code,1300   BERKELEY WAY,2024-09-03 14:00:00,Tamper with vehicle
Brandishing a weapon,Penal Code,1300 BERKELEY WAY,2024-09-01 15:40:00,ASSAULT WITH FIREARM ON PERSON
Vehicle Stolen,Vehicle Code,1300 BERKELEY WAY,2024-06-11 01:30:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Assault/Battery Misdemeanor,Penal Code,1300 BERKELEY WAY,2024-05-24 17:58:00,BATTERY ON PERSON
Assault/Battery Misdemeanor,Penal Code,1300 BERKELEY WAY,2024-05-22 18:30:00,BATTERY ON PERSON
Domestic violence,Penal Code,1300 BERKELEY WAY,2024-05-08 06:00:00,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC
Burglary Auto,Penal Code,1300 BERKELEY WAY,2024-01-17 16:00:00,PETTY THEFT FROM VEHICLE
Assault/Battery Misdemeanor,Penal Code,1300 BERKELEY WAY,2024-01-05 03:45:00,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM
Assault/Battery Misdemeanor,Penal Code,1300 BERKELEY WAY,2024-01-05 03:45:00,BATTERY ON PERSON
Assault/Battery Misdemeanor,Penal Code,1300 BERKELEY WAY,2023-12-07 05:45:00,Battery with bodily injury
Theft from Auto,Penal Code,ELLSWORTH ST  &  PARKER ST,2025-03-27 23:30:00,GRAND THEFT VEHICLE PARTS
Vandalism,Vehicle Code,ELLSWORTH ST  &  PARKER ST,2025-03-08 05:20:00,Tamper with vehicle
Burglary Residential,Penal Code,2600 ELLSWORTH ST,2025-02-06 11:57:00,BURGLARY - BREAKING AND ENTERING
Vehicle Stolen,Vehicle Code,2600 ELLSWORTH ST,2024-08-25 00:00:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Vandalism,Vehicle Code,2600 ELLSWORTH ST,2023-11-09 15:06:00,Tamper with vehicle
Vandalism,Penal Code,2600 ELLSWORTH ST,2023-11-09 15:06:00,Probation Violation : Misdemeanor
Robbery,Penal Code,900 HEINZ AVE,2024-01-23 21:11:00,ROBBERY
Vandalism,Penal Code,2600 ELLSWORTH ST,2023-11-09 15:06:00,THREATEN CRIME W/INTENT TO TERRORIZE
Robbery,Penal Code,900 HEINZ AVE,2024-11-19 20:34:00,ROBBERY
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2024-01-21 20:51:00,PETTY THEFT SHOPLIFTING
Robbery,Penal Code,900 HEINZ AVE,2024-11-19 20:34:00,POSSESS DRUGS/ALCOHOLIC BEVERAGE IN PRISON/JAIL/ETC
Vandalism,Penal Code,2600 ELLSWORTH ST,2023-11-09 15:06:00,Vandalism:  Deface property
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2024-01-13 01:47:00,PETTY THEFT SHOPLIFTING
Robbery,Health and Safety,900 HEINZ AVE,2024-11-19 20:34:00,POSSESS CONTROLLED SUBSTANCE
Vandalism,Health and Safety,2600 ELLSWORTH ST,2023-11-09 15:06:00,Possess narcotics paraphernalia
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2024-01-06 21:58:00,SHOPLIFTING (LESS THAN $950)
Robbery,Health and Safety,900 HEINZ AVE,2024-11-19 20:34:00,POSSESS UNLAWFUL PARAPHERNALIA
Theft Misdemeanor (Under $950),Penal Code,2200 CARLETON ST,2023-08-20 17:00:00,Petty Theft
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2023-12-29 02:30:00,PETTY THEFT (ALL OTHER)
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2023-12-27 18:20:00,Petty Theft
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2023-12-23 21:00:00,Petty Theft
Theft Felony (over $950),Penal Code,900 HEINZ AVE,2023-12-22 23:18:00,Grand theft: money; labor; or property over $950
Assault/Battery Misdemeanor,Penal Code,900 HEINZ AVE,2023-12-10 18:24:00,Battery with bodily injury
Robbery,Penal Code,900 HEINZ AVE,2023-11-29 20:25:00,Robbery
Burglary Auto,Penal Code,900 HEINZ AVE,2023-11-14 20:50:00,Burglary of a locked automobile
Burglary Auto,Penal Code,900 HEINZ AVE,2023-10-11 01:40:00,Burglary of a locked automobile
Robbery,Penal Code,900 HEINZ AVE,2023-10-01 21:17:00,Robbery
Robbery,Penal Code,900 HEINZ AVE,2023-10-01 21:17:00,Probation Violation : Felony
Assault/Battery Misdemeanor,Penal Code,900 HEINZ AVE,2023-09-29 00:09:00,Battery with bodily injury
Theft Felony (over $950),Penal Code,900 HEINZ AVE,2023-08-24 21:00:00,Theft by use of access card information
Theft Felony (over $950),Penal Code,900 HEINZ AVE,2023-08-24 21:00:00,Grand theft: money; labor; or property over $950
Burglary Auto,Penal Code,900 HEINZ AVE,2023-08-09 00:45:00,Burglary of a locked automobile
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2023-07-28 21:40:00,Petty Theft
Vehicle Stolen,Vehicle Code,8TH ST  &  HEINZ AVE,2023-07-20 22:30:00,Take vehicle without owner's consent
Vehicle Stolen,Penal Code,900 HEINZ AVE,2023-07-07 20:20:00,Burglary of a locked automobile
Vehicle Stolen,Vehicle Code,900 HEINZ AVE,2023-07-07 20:20:00,Take vehicle without owner's consent
Robbery,Penal Code,900 HEINZ AVE,2023-06-19 23:24:00,Outside Warrant Misdemeanor
Robbery,Penal Code,900 HEINZ AVE,2023-06-19 23:24:00,Probation Violation : Misdemeanor
Robbery,Penal Code,900 HEINZ AVE,2023-06-19 23:24:00,Robbery
Robbery,Penal Code,900 HEINZ AVE,2023-06-19 23:24:00,THREATEN CRIME W/INTENT TO TERRORIZE
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2023-05-12 21:17:00,Petty Theft
Burglary Auto,Penal Code,900 HEINZ AVE,2023-05-09 01:00:00,Burglary of a locked automobile
Burglary Auto,Penal Code,900 HEINZ AVE,2023-05-09 00:55:00,Burglary of a locked automobile
Theft from Auto,Penal Code,900 HEINZ AVE,2023-04-30 21:00:00,Grand theft: money; labor; or property over $950
Theft Felony (over $950),Penal Code,900 HEINZ AVE,2023-04-12 16:00:00,Grand theft: money; labor; or property over $950
Robbery,Penal Code,900 HEINZ AVE,2023-04-12 03:08:00,Robbery
Vandalism,Penal Code,900 HEINZ AVE,2023-04-08 21:52:00,Vandalism:  Deface property
Theft from Auto,Penal Code,900 HEINZ AVE,2023-04-01 04:00:00,Petty Theft
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2023-03-16 00:53:00,Petty Theft
Theft from Auto,Penal Code,900 HEINZ AVE,2023-02-28 01:15:00,CONSPIRACY:COMMIT CRIME
Theft from Auto,Penal Code,900 HEINZ AVE,2023-02-28 01:15:00,Grand theft: money; labor; or property over $950
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2023-02-27 23:23:00,Petty Theft
Burglary Auto,Penal Code,900 HEINZ AVE,2023-02-27 05:25:00,Burglary of a locked automobile
Disturbance,Penal Code,900 HEINZ AVE,2023-02-25 20:55:00,Offensive words in public place
Disturbance,Penal Code,900 HEINZ AVE,2023-02-25 20:55:00,Battery with bodily injury
Disturbance,Penal Code,900 HEINZ AVE,2023-02-25 20:55:00,Petty Theft
Assault/Battery Felony,Penal Code,9TH ST  &  HEINZ AVE,2023-02-01 23:00:00,Assault with force likely to produce great bodily injury
Burglary Auto,Penal Code,900 HEINZ AVE,2023-01-04 21:45:00,Burglary of a locked automobile
Burglary Auto,Vehicle Code,900 HEINZ AVE,2023-01-04 21:45:00,Tamper with vehicle
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2024-11-13 19:52:00,PETTY THEFT SHOPLIFTING
Sexual Assault Misdemeanor,Penal Code,PARKER ST  &  ELLSWORTH ST,2023-03-07 22:50:00,Sexual Battery
Domestic violence,Penal Code,900 HEINZ AVE,2024-11-08 01:40:00,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC
Sexual Assault Misdemeanor,Penal Code,900 HEINZ AVE,2024-11-07 23:35:00,LOITER BY PUBLIC TOILET/LEWD ACT
Fraud/Forgery,Penal Code,900 HEINZ AVE,2024-10-31 21:40:00,POSSESS/ETC/BAD/ETC CHECK/ETC
Theft Felony (over $950),Penal Code,900 HEINZ AVE,2025-03-28 09:00:00,GRAND THEFT (ALL OTHER)
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2025-01-08 20:15:00,PETTY THEFT (ALL OTHER)
Assault/Battery Misdemeanor,Penal Code,900 HEINZ AVE,2025-01-06 07:40:00,BATTERY ON PERSON
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2024-09-29 20:05:00,PETTY THEFT SHOPLIFTING
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2024-09-18 00:42:00,PETTY THEFT SHOPLIFTING
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2024-09-18 00:42:00,THREATEN CRIME WITH INTENT TO TERRORIZE
Theft Felony (over $950),Penal Code,900 HEINZ AVE,2024-09-04 21:20:00,CONSPIRACY:COMMIT CRIME
Theft Felony (over $950),Penal Code,900 HEINZ AVE,2024-09-04 21:20:00,GRAND THEFT SHOPLIFTING
Disturbance,Penal Code,900 HEINZ AVE,2024-08-29 23:25:00,BATTERY ON PERSON
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2024-08-26 00:15:00,THEFT OF VEHICLE PARTS
Assault/Battery Felony,Health and Safety,HEINZ AVE  &  9TH ST,2024-08-23 22:38:00,POSSESS NARCOTIC CONTROLLED SUBSTANCE
Assault/Battery Felony,Health and Safety,HEINZ AVE  &  9TH ST,2024-08-23 22:38:00,POSSESS UNLAWFUL PARAPHERNALIA
Assault/Battery Felony,Penal Code,HEINZ AVE  &  9TH ST,2024-08-23 22:38:00,Enhancement; Felony committed while on Bail or O/R
Assault/Battery Felony,Penal Code,HEINZ AVE  &  9TH ST,2024-08-23 22:38:00,BATTERY W/SERIOUS BODILY INJURY
Disturbance,Penal Code,8TH ST  &  HEINZ AVE,2024-08-19 22:46:00,OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH
Disturbance,Health and Safety,8TH ST  &  HEINZ AVE,2024-08-19 22:46:00,POSSESS UNLAWFUL PARAPHERNALIA
Disturbance,Penal Code,8TH ST  &  HEINZ AVE,2024-08-19 22:46:00,CONTEMPT OF COURT: DISOBEY COURT ORDER
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2024-06-09 02:13:00,SHOPLIFTING (LESS THAN $950)
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2024-05-28 22:45:00,PETTY THEFT SHOPLIFTING
Burglary Auto,Penal Code,900 HEINZ AVE,2024-05-28 18:15:00,BURGLARY OF AUTO
Assault/Battery Misdemeanor,Penal Code,900 HEINZ AVE,2024-04-30 02:28:00,VANDALISM:DAMAGE PROPERTY
Assault/Battery Misdemeanor,Penal Code,900 HEINZ AVE,2024-04-30 02:28:00,BATTERY ON PERSON
Vehicle Recovered,Penal Code,8TH ST  &  HEINZ AVE,2024-04-24 22:50:00,POSSESS STOLEN VEHICLE/VESSEL/ETC
Vehicle Recovered,Vehicle Code,8TH ST  &  HEINZ AVE,2024-04-24 22:50:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Vehicle Recovered,Penal Code,8TH ST  &  HEINZ AVE,2024-04-24 22:50:00,CONSPIRACY:COMMIT CRIME
Vandalism,Penal Code,900 HEINZ AVE,2024-04-10 17:00:00,VANDALISM:DEFACE PROPERTY
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2024-04-05 00:30:00,Misdemeanor Warrant
Theft Misdemeanor (Under $950),Health and Safety,900 HEINZ AVE,2024-04-05 00:30:00,POSSESS NARCOTIC CONTROLLED SUBSTANCE
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2024-04-05 00:30:00,PETTY THEFT SHOPLIFTING
Theft Misdemeanor (Under $950),Health and Safety,900 HEINZ AVE,2024-04-05 00:30:00,POSSESS UNLAWFUL PARAPHERNALIA
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2024-04-03 20:55:00,PETTY THEFT SHOPLIFTING
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2024-03-29 19:17:00,PETTY THEFT SHOPLIFTING
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2024-03-22 17:30:00,PETTY THEFT SHOPLIFTING
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2024-03-20 20:08:00,PETTY THEFT SHOPLIFTING
Assault/Battery Misdemeanor,Penal Code,900 HEINZ AVE,2024-03-18 23:41:00,BATTERY ON PERSON
Assault/Battery Misdemeanor,Penal Code,900 HEINZ AVE,2024-03-18 23:41:00,PROBATION VIOLATION: REARREST/REVOKE
Assault/Battery Misdemeanor,Penal Code,900 HEINZ AVE,2024-03-18 23:41:00,Outside Warrant Felony
Assault/Battery Misdemeanor,Penal Code,900 HEINZ AVE,2024-03-18 23:41:00,Outside Warrant Misdemeanor
Assault/Battery Misdemeanor,Health and Safety,900 HEINZ AVE,2024-03-18 23:41:00,POSSESS UNLAWFUL PARAPHERNALIA
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2024-03-16 18:50:00,PETTY THEFT SHOPLIFTING
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2024-02-28 03:26:00,PETTY THEFT SHOPLIFTING
Vandalism,Penal Code,900 HEINZ AVE,2024-02-21 20:52:00,BATTERY ON PERSON
Vandalism,Penal Code,900 HEINZ AVE,2024-02-21 20:52:00,VANDALISM:DEFACE PROPERTY
Theft Misdemeanor (Under $950),Penal Code,900 HEINZ AVE,2024-02-20 22:09:00,PETTY THEFT SHOPLIFTING
Vehicle Stolen,Vehicle Code,9TH ST  &  HEINZ AVE,2024-02-03 21:10:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Theft from Auto,Penal Code,1900 HEARST AVE,2024-11-20 20:00:00,THEFT OF VEHICLE PARTS
Disturbance,Penal Code,1900 HEARST AVE,2024-11-06 23:24:00,INDECENT EXPOSURE
Disturbance,Penal Code,MARTIN LUTHER KING JR WAY  &  HEARST AVE,2024-10-29 03:45:00,THREATEN CRIME WITH INTENT TO TERRORIZE
Narcotics Violation,Health and Safety,HEARST AVE  &  MARTIN LUTHER KING JR WAY,2024-09-19 19:24:00,POSSESS UNLAWFUL PARAPHERNALIA
Disturbance,Penal Code,1900 HEARST AVE,2024-07-24 17:30:00,INDECENT EXPOSURE
Disturbance,Penal Code,1900 HEARST AVE,2024-07-24 17:30:00,PROBATION VIOLATION: REARREST/REVOKE
Assault/Battery Misdemeanor,Penal Code,1900 HEARST AVE,2024-06-21 16:08:00,BATTERY ON PERSON
Assault/Battery Misdemeanor,Penal Code,MARTIN LUTHER KING JR WAY  &  HEARST AVE,2024-05-28 19:20:00,BATTERY ON PERSON
Theft Misdemeanor (Under $950),Penal Code,1900 HEARST AVE,2024-01-08 15:30:00,PETTY THEFT (ALL OTHER)
Brandishing a weapon,Penal Code,MARTIN LUTHER KING JR WAY  &  HEARST AVE,2023-10-11 00:22:00,Exhibit deadly weapon - firearm
Fraud/Forgery,Penal Code,1900 HEARST AVE,2023-09-27 03:27:00,Obtain credit using another identification
Fraud/Forgery,Penal Code,1900 HEARST AVE,2023-09-27 03:27:00,Petty Theft
Assault/Battery Misdemeanor,Penal Code,1900 HEARST AVE,2023-09-24 08:17:00,Cause harm or death of elder or dependent adult
Assault/Battery Misdemeanor,Penal Code,1900 HEARST AVE,2023-09-24 08:17:00,Battery with bodily injury
Disturbance,Health and Safety,1900 HEARST AVE,2023-08-26 10:40:00,Possess narcotics paraphernalia
Brandishing a weapon,Penal Code,MARTIN LUTHER KING JR WAY  &  HEARST AVE,2023-08-26 03:00:00,Exhibit deadly weapon other than firearm
Disturbance,Penal Code,HEARST AVE  &  MARTIN LUTHER KING JR WAY,2023-08-22 16:38:00,Misdemeanor Warrant
Disturbance,Penal Code,HEARST AVE  &  MARTIN LUTHER KING JR WAY,2023-08-22 16:38:00,Obstruct/resist peace officer/emergency personnel
Theft Misdemeanor (Under $950),Penal Code,1900 HEARST AVE,2023-08-20 06:00:00,Petty Theft
Assault/Battery Misdemeanor,Penal Code,1900 HEARST AVE,2023-08-19 07:00:00,Battery with bodily injury
Assault/Battery Felony,Penal Code,MARTIN LUTHER KING JR WAY  &  HEARST AVE,2023-08-14 02:30:00,Rape by force/fear/etc.
Domestic violence,Penal Code,1900 HEARST AVE,2023-08-07 00:45:00,Battery: ex-spouse; dating; etc (hospital required)
Domestic violence,Penal Code,1900 HEARST AVE,2023-08-07 00:45:00,Cause harm or death of elder or dependent adult
Theft Misdemeanor (Under $950),Penal Code,1900 HEARST AVE,2023-08-02 10:00:00,Petty Theft
Brandishing a weapon,Penal Code,1900 HEARST AVE,2023-08-01 20:47:00,Exhibit deadly weapon other than firearm
Brandishing a weapon,Penal Code,1900 HEARST AVE,2023-08-01 20:47:00,Battery with bodily injury
Theft Misdemeanor (Under $950),Penal Code,1900 HEARST AVE,2023-07-30 02:30:00,Petty Theft
Theft Misdemeanor (Under $950),Penal Code,1900 HEARST AVE,2023-07-29 03:00:00,Petty Theft
Assault/Battery Misdemeanor,Penal Code,1900 HEARST AVE,2023-07-25 02:49:00,THREATEN CRIME W/INTENT TO TERRORIZE
Assault/Battery Misdemeanor,Penal Code,1900 HEARST AVE,2023-07-25 02:49:00,Battery with bodily injury
Assault/Battery Misdemeanor,Penal Code,1900 HEARST AVE,2023-07-11 17:45:00,Battery with bodily injury
Vandalism,Penal Code,1900 HEARST AVE,2023-07-11 12:16:00,Vandalism:  Deface property
Vandalism,Penal Code,1900 HEARST AVE,2023-07-11 12:16:00,Probation Violation : Felony
Assault/Battery Felony,Penal Code,1900 HEARST AVE,2023-05-24 03:25:00,Assault with deadly weapon other than a firearm
Assault/Battery Felony,Penal Code,1900 HEARST AVE,2023-05-24 03:25:00,THREATEN CRIME W/INTENT TO TERRORIZE
Disturbance,Penal Code,1900 HEARST AVE,2023-04-30 15:58:00,Probation Violation : Misdemeanor
Disturbance,Penal Code,1900 HEARST AVE,2023-04-30 15:58:00,ANNOYING/ETC CALLS TO 911
Disturbance,Penal Code,1900 HEARST AVE,2023-04-30 15:58:00,Vandalism:  Deface property
Disturbance,Penal Code,1900 HEARST AVE,2023-04-30 15:58:00,Obstruct/resist peace officer/emergency personnel
Vandalism,Penal Code,1900 HEARST AVE,2023-01-06 11:23:00,Vandalism:  Deface property
Disturbance,Penal Code,1900 HEARST AVE,2023-03-16 03:20:00,THREATEN CRIME W/INTENT TO TERRORIZE
Fraud/Forgery,Penal Code,1200 BERKELEY WAY,2024-06-30 07:00:00,FORGERY
Disturbance,Penal Code,1900 HEARST AVE,2023-03-16 03:20:00,Probation Violation : Misdemeanor
Disturbance,Penal Code,1900 HEARST AVE,2023-03-16 03:20:00,VIOLATE CIVIL RIGHTS BY FORCE OR THREAT OF FORCE
Burglary Auto,Penal Code,1900 BONITA AVE,2023-03-01 03:00:00,Burglary of a locked automobile
Assault/Battery Misdemeanor,Penal Code,1900 HEARST AVE,2023-02-24 08:15:00,Battery with bodily injury
Assault/Battery Misdemeanor,Penal Code,1900 HEARST AVE,2023-02-09 03:22:00,Obstruct/resist peace officer/emergency personnel
Assault/Battery Misdemeanor,Penal Code,1900 HEARST AVE,2023-02-09 03:22:00,Battery with bodily injury
Assault/Battery Misdemeanor,Penal Code,1900 HEARST AVE,2023-02-09 03:22:00,Disorderly conduct:  Intoxication of drug and/or alcohol
Vandalism,Penal Code,1900 HEARST AVE,2023-01-17 09:00:00,Vandalism:  Deface property
Assault/Battery Misdemeanor,Penal Code,1900 HEARST AVE,2023-01-11 03:23:00,Battery with bodily injury
Vehicle Stolen,Vehicle Code,1900 BONITA AVE,2023-01-07 21:30:00,Take vehicle without owner's consent
Fraud/Forgery,Penal Code,1900 CHESTNUT ST,2024-04-23 17:00:00,POSSESS PERSONAL IDENTIFYING INFO; IDENTITY THEFT
Fraud/Forgery,Penal Code,1900 CHESTNUT ST,2024-04-23 17:00:00,OBTAIN MONEY/ETC BY FALSE PRETENSES [OVER $400]
Fraud/Forgery,Penal Code,1900 CHESTNUT ST,2024-04-23 17:00:00,THEFT ELDER/DEPENDANT ADULT (OVER $950)
Burglary Commercial,Penal Code,2700 7TH ST,2024-05-28 23:30:00,VANDALISM ($400 OR MORE)
Burglary Commercial,Penal Code,2700 7TH ST,2024-05-28 23:30:00,BURGLARY - BREAKING AND ENTERING
Disturbance,Penal Code,2700 7TH ST,2024-04-30 11:00:00,TRESPASS:REFUSE TO LEAVE PROPERTY
Fraud/Forgery,Penal Code,2600 8TH ST,2023-04-26 15:00:00,Obtain credit using another identification
Fraud/Forgery,Penal Code,2600 8TH ST,2023-04-26 15:00:00,Grand theft: money; labor; or property over $950
Fraud/Forgery,Penal Code,2600 8TH ST,2023-04-26 15:00:00,FORGERY: FALSE CHECKS OR RECORDS
Fraud/Forgery,Penal Code,2600 8TH ST,2023-04-26 15:00:00,PASS COMPLETED CHECK/ETC:INTENT:DEFRAUD
Burglary Auto,Penal Code,2600 8TH ST,2023-03-16 12:00:00,Burglary of a locked automobile
Theft Felony (over $950),Penal Code,3100 CLAREMONT AVE,2023-01-06 15:00:00,Grand theft: money; labor; or property over $950
Vehicle Stolen,Vehicle Code,1200 BERKELEY WAY,2024-09-30 19:03:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Vehicle Stolen,Vehicle Code,1900 CHESTNUT ST,2024-07-17 03:00:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Assault/Battery Misdemeanor,Penal Code,1200 BERKELEY WAY,2024-03-30 19:10:00,BATTERY ON PERSON
Narcotics Violation,Health and Safety,2100 DWIGHT WAY,2025-03-04 00:19:00,POSSESS UNLAWFUL PARAPHERNALIA
Fraud/Forgery,Penal Code,1200 BERKELEY WAY,2023-10-01 07:00:00,THEFT ELDER/DEPENDANT ADULT (OVER $950)
Narcotics Violation,Health and Safety,2100 DWIGHT WAY,2025-03-04 00:19:00,POSSESS CONTROLLED SUBSTANCE
Domestic violence,Penal Code,1900 CHESTNUT ST,2023-09-21 00:15:00,Corporal injury on spouse or cohabitant (no hospital required)
Domestic violence,Penal Code,1900 CHESTNUT ST,2023-09-21 00:15:00,Rape by force/fear/etc.
Domestic violence,Penal Code,1900 CHESTNUT ST,2023-09-21 00:15:00,False Imprisonment
Vandalism,Penal Code,2100 DWIGHT WAY,2025-01-19 20:00:00,VANDALISM:DEFACE PROPERTY
Burglary Auto,Penal Code,1900 CHESTNUT ST,2023-09-09 02:00:00,Burglary of a locked automobile
Burglary Residential,Penal Code,2100 DWIGHT WAY,2024-11-09 20:00:00,BURGLARY - BREAKING AND ENTERING
Theft Misdemeanor (Under $950),Penal Code,1200 BERKELEY WAY,2023-09-05 20:30:00,Petty Theft
Assault/Battery Felony,Penal Code,2100 DWIGHT WAY,2024-09-28 03:24:00,ASSAULT W/DEADLY WEAPON:NOT F/ARM
Vehicle Stolen,Vehicle Code,1200 BERKELEY WAY,2023-08-04 00:00:00,Take vehicle without owner's consent
Burglary Commercial,Penal Code,2100 DWIGHT WAY,2024-09-11 13:14:00,BURGLARY - BREAKING AND ENTERING
Disturbance,Penal Code,2100 DWIGHT WAY,2024-08-18 23:30:00,INDECENT EXPOSURE
Theft from Auto,Penal Code,1900 CHESTNUT ST,2023-07-06 03:00:00,Petty Theft
Sexual Assault Felony,Penal Code,2100 DWIGHT WAY,2024-08-13 23:05:00,ASSAULT:WITH INTENT TO RAPE
Burglary Auto,Penal Code,1900 CHESTNUT ST,2023-06-05 20:30:00,Burglary of a locked automobile
Theft Misdemeanor (Under $950),Penal Code,2100 DWIGHT WAY,2024-06-18 21:08:00,PETTY THEFT (ALL OTHER)
Narcotics Violation,Penal Code,BERKELEY WAY  &  CHESTNUT ST,2023-03-29 08:13:00,Probation Violation : Misdemeanor
Theft Misdemeanor (Under $950),Penal Code,2100 DWIGHT WAY,2024-01-31 04:30:00,PETTY THEFT (ALL OTHER)
Narcotics Violation,Health and Safety,BERKELEY WAY  &  CHESTNUT ST,2023-03-29 08:13:00,Possession of controlled substances
